Frame,Class,Confidence,X1,Y1,X2,Y2
23,NO-Mask,0.66,1861,800,1915,845
52,NO-Mask,0.66,2165,800,2229,853
53,NO-Mask,0.66,2163,801,2228,853
54,NO-Mask,0.66,2162,802,2227,854
69,NO-Mask,0.66,2154,803,2221,855
70,NO-Mask,0.68,2156,804,2222,856
71,NO-Mask,0.68,2157,804,2222,856
72,NO-Mask,0.69,2160,804,2226,856
73,NO-Mask,0.68,2160,805,2226,858
74,NO-Mask,0.69,2160,805,2227,860
75,NO-Mask,0.69,2161,806,2226,861
76,NO-Mask,0.69,2161,808,2227,863
77,NO-Mask,0.71,2161,808,2227,863
78,NO-Mask,0.72,2161,809,2228,864
79,NO-Mask,0.72,2161,808,2229,866
80,NO-Mask,0.73,2163,807,2230,864
81,NO-Mask,0.73,2163,808,2230,864
82,NO-Mask,0.73,2163,809,2230,865
83,NO-Mask,0.73,2164,808,2229,865
84,NO-Mask,0.74,2165,807,2229,864
85,NO-Mask,0.72,2164,809,2230,864
86,NO-Mask,0.71,2165,809,2230,864
87,NO-Mask,0.72,2165,810,2230,865
88,NO-Mask,0.71,2167,809,2231,865
89,NO-Mask,0.71,2168,809,2232,865
90,NO-Mask,0.71,2169,810,2231,866
91,NO-Mask,0.71,2170,809,2233,865
92,NO-Mask,0.71,2171,809,2234,864
93,NO-Mask,0.73,2171,809,2233,864
94,NO-Mask,0.73,2171,809,2233,864
95,NO-Mask,0.72,2171,808,2234,864
96,NO-Mask,0.72,2171,808,2235,864
97,NO-Mask,0.72,2172,808,2235,864
98,NO-Mask,0.72,2172,808,2235,864
99,NO-Mask,0.71,2173,808,2236,864
100,NO-Mask,0.71,2173,808,2235,864
101,NO-Mask,0.68,2173,808,2235,863
102,NO-Mask,0.66,2174,808,2236,863
103,NO-Mask,0.67,2174,809,2235,863
104,NO-Mask,0.67,2174,810,2235,863
105,NO-Mask,0.67,2174,809,2236,863
106,NO-Mask,0.68,2175,810,2237,863
107,NO-Mask,0.68,2175,811,2236,864
108,NO-Mask,0.68,2175,811,2236,864
109,NO-Mask,0.67,2175,811,2236,864
110,NO-Mask,0.68,2176,811,2236,864
111,NO-Mask,0.68,2175,811,2236,864
112,NO-Mask,0.67,2175,812,2236,864
113,NO-Mask,0.68,2175,812,2235,865
114,NO-Mask,0.67,2174,813,2235,865
115,NO-Mask,0.67,2174,813,2235,865
116,NO-Mask,0.68,2174,813,2234,866
117,NO-Mask,0.68,2174,813,2234,866
118,NO-Mask,0.69,2174,812,2234,866
119,NO-Mask,0.69,2175,812,2234,865
120,NO-Mask,0.69,2175,812,2234,865
121,NO-Mask,0.69,2175,811,2234,865
122,NO-Mask,0.68,2174,812,2233,865
123,NO-Mask,0.68,2174,812,2233,864
124,NO-Mask,0.7,2175,813,2233,865
125,NO-Mask,0.69,2175,812,2234,865
126,NO-Mask,0.69,2176,812,2234,864
127,NO-Mask,0.69,2177,813,2235,864
128,NO-Mask,0.68,2177,812,2236,864
129,NO-Mask,0.66,2178,811,2237,863
130,NO-Mask,0.66,2178,812,2237,863
131,NO-Mask,0.67,2180,809,2239,863
133,NO-Mask,0.66,2181,812,2240,864
134,NO-Mask,0.65,2182,812,2240,864
142,NO-Mask,0.65,1862,810,1910,859
143,NO-Mask,0.66,1863,810,1912,859
144,NO-Mask,0.66,1864,810,1913,858
168,NO-Mask,0.66,2217,801,2278,854
169,NO-Mask,0.67,2219,801,2279,855
170,NO-Mask,0.71,2220,801,2281,854
171,NO-Mask,0.7,2222,801,2283,854
